row,tag,question id,score,reputation,accept rate,answer count,is answered
1,drupal,66743020,1,515,0,1,1,
2,drupal,67342843,0,23,0,1,1,
3,drupal,67070336,1,6648,79,1,1,
4,drupal,67356603,0,529,0,2,0,
5,drupal,66870020,0,652,87,1,1,
6,drupal,68151737,1,1463,31,2,0,
7,drupal,66520135,0,585,0,0,0,
8,drupal,67538259,0,2164,0,2,1,
9,drupal,67209382,0,53,0,1,0,
10,drupal,67587116,2,23,0,2,0,
11,drupal,68139399,0,141,18,0,0,
12,drupal,66031948,0,3,0,1,1,
13,drupal,68118167,6,207,0,2,1,
14,drupal,66094918,0,1,0,1,0,
15,drupal,66721227,0,8368,83,1,0,
16,drupal,67986077,-1,1,0,1,0,
17,drupal,65823169,0,1,0,1,1,
18,drupal,65677958,0,150,0,1,0,
19,drupal,67913020,0,75,0,2,1,
20,drupal,68192237,0,1,0,1,1,
21,drupal,68157746,-1,1,0,2,0,
22,drupal,66349270,1,11,0,1,0,
23,drupal,68170764,0,1919,15,0,0,
24,drupal,68186414,0,57,0,0,0,
25,drupal,68186139,0,11,0,0,0,
26,drupal,68126660,1,21,0,0,0,
27,drupal,68169440,0,35,0,0,0,
28,drupal,67944009,1,11,0,1,0,
29,drupal,68158409,0,19,0,1,0,
30,drupal,68155379,-1,2169,0,1,1,
31,drupal,68139753,0,1,0,0,0,
32,drupal,68109889,0,15,0,0,0,
33,drupal,68109567,0,141,18,0,0,
34,drupal,68098608,0,15,0,1,0,
35,drupal,68098344,0,1,0,0,0,
36,drupal,67584470,0,47,0,1,0,
37,drupal,68091366,0,260,0,1,1,
38,drupal,68089496,0,4453,55,0,0,
39,drupal,68075028,0,1,0,0,0,
40,drupal,68069804,0,9366,75,0,0,
41,drupal,68000129,1,11,0,1,0,
42,drupal,68042964,1,47,0,0,0,
43,drupal,68034994,0,738,0,0,0,
44,drupal,68010016,0,13,0,1,1,
45,drupal,68004383,0,1,0,1,0,
46,drupal,67986702,0,196,50,0,0,
47,drupal,67974878,1,667,0,0,0,
48,drupal,67971430,0,6003,51,0,0,
49,drupal,67953595,0,1040,0,1,0,
50,drupal,67942484,0,1291,95,0,0,
51,drupal,67875039,0,1,0,0,0,
52,drupal,67871834,1,1233,64,1,1,
53,drupal,67849476,0,6003,51,1,1,
54,drupal,67857505,0,1,0,0,0,
55,drupal,67834145,0,3,0,0,0,
