row,tag,question id,score,reputation,accept rate,answer count,is answered
1,wordpress,67847426,0,312,0,1,1,
2,wordpress,65830715,0,67,0,2,0,
3,wordpress,66893656,0,1,0,2,0,
4,wordpress,66471906,1,11,0,1,0,
5,wordpress,67884948,4,43,0,1,1,
6,wordpress,65691965,2,21,0,1,1,
7,wordpress,67352047,1,21,0,2,1,
8,wordpress,67694220,-1,608,70,2,0,
9,wordpress,66382384,1,11,0,2,0,
10,wordpress,67812746,6,149,67,1,1,
11,wordpress,67437490,1,11,0,1,0,
12,wordpress,65676418,1,41,0,2,1,
13,wordpress,67846726,0,0,0,1,1,
14,wordpress,67456762,1,83,0,1,0,
15,wordpress,65606896,1,181,0,0,0,
16,wordpress,68112494,0,1,0,1,0,
17,wordpress,66480115,0,193,0,2,0,
18,wordpress,67326790,1,11,0,2,0,
19,wordpress,67149195,-2,9,0,3,0,
20,wordpress,66528878,1,807,83,2,1,
21,wordpress,66353403,4,426,0,2,1,
22,wordpress,67344029,1,11,0,2,1,
23,wordpress,66673708,1,533,0,1,0,
24,wordpress,65981843,0,127,10,1,0,
25,wordpress,67298915,-1,1,0,1,0,
26,wordpress,66747653,0,1,0,0,0,
27,wordpress,66636831,-2,1,0,1,0,
28,wordpress,66269607,0,121,0,2,0,
29,wordpress,65669719,0,1,0,3,1,
30,wordpress,66379983,1,639,0,2,1,
31,wordpress,66831425,-2,17,0,1,0,
32,wordpress,66367432,0,131,0,3,1,
33,wordpress,66611705,8,83,0,3,1,
34,wordpress,67271168,1,103,0,1,1,
35,wordpress,65809171,2,33,0,1,1,
36,wordpress,66803071,1,426,0,1,1,
37,wordpress,67048974,3,2199,47,0,0,
38,wordpress,66318988,0,27,0,1,0,
39,wordpress,66215657,1,39,0,2,1,
40,wordpress,67429793,4,0,0,1,1,
41,wordpress,66385928,0,37,0,1,0,
42,wordpress,68031756,0,5,0,2,1,
43,wordpress,67769130,1,21,0,1,0,
44,wordpress,65902652,0,1,0,1,0,
45,wordpress,67986057,2,31,0,0,0,
46,wordpress,65886937,4,1649,62,4,1,
47,wordpress,68142779,-1,332,0,1,0,
